Time,Open,High,Low,Last,Change,%Chg,Volume
11/01/2024,55.46,55.753,48.9215,51.945,-3.265,-5.91%,3666616
10/01/2024,59,60,55.1,55.21,-4.53,-7.58%,2359426
09/01/2024,60.45,62.61,58.1101,59.74,-1.25,-2.05%,3028400
08/01/2024,62.31,62.67,56.88,60.99,-1.02,-1.64%,2423672
07/01/2024,60.82,66.08,59.04,62.01,1.56,+2.58%,3036395
06/01/2024,62.05,62.8,58.46,60.45,-1.99,-3.19%,4764147
05/01/2024,58.55,63.69,58.24,62.44,3.78,+6.44%,3906227
04/01/2024,63.1,64.09,57.358,58.66,-4.15,-6.61%,3683222
03/01/2024,54.64,63.42,52.89,62.81,9.7,+18.26%,6794753
02/01/2024,55.68,56.83,52.28,53.11,-2.47,-4.44%,4583120
01/01/2024,72.35,74.02,50.72,55.58,-16.64,-23.04%,8599038
12/01/2023,73.76,77.35,70.06,72.22,-1.51,-2.05%,3762915
11/01/2023,71.85,75.33,71.12,73.73,2.16,+3.02%,3164166
10/01/2023,74.8,76.06,69.31,71.57,-3.85,-5.10%,2423818
09/01/2023,79.84,80.965,74.92,75.42,-3.88,-4.89%,3130590
08/01/2023,84.43,87.29,79.27,79.3,-5.66,-6.66%,2397365
07/01/2023,75.69,87.3,75.59,84.96,9.4,+12.44%,2838730
06/01/2023,70.97,76,69.92,75.56,4.91,+6.95%,2829357
05/01/2023,78.24,78.66,70.3384,70.65,-7.43,-9.52%,2906690
04/01/2023,79.6,82.95,75.27,78.08,-1.58,-1.98%,2565621
03/01/2023,79.64,81.42,73.98,79.66,0.06,+0.08%,2957687
02/01/2023,82.74,86.14,78.95,79.6,-3.25,-3.92%,3408384
01/01/2023,92.75,92.85,81.11,82.85,-10.,-10.77%,3889770
12/01/2022,97.7,97.9,89.84,92.85,-4.65,-4.77%,2627004
11/01/2022,97.36,98.28,91.74,97.5,0.52,+0.54%,2388361
10/01/2022,81.36,97.84,80.92,96.98,16.53,+20.55%,2766395
09/01/2022,87.12,92.26,80.16,80.45,-7.44,-8.47%,2978814
08/01/2022,82.89,91.44,81.375,87.89,5.12,+6.19%,2214221
07/01/2022,77.51,82.84,70.02,82.77,5.17,+6.66%,2789525
06/01/2022,90.89,91.21,71.55,77.6,-13.22,-14.56%,3831185
05/01/2022,90.21,91.806,81.45,90.82,1.26,+1.41%,3903838
04/01/2022,90.66,98.88,88.76,89.56,-0.7,-0.78%,4135935
03/01/2022,78.63,93.5,77.52,90.26,11.81,+15.05%,4940370
02/01/2022,75.2,79.06,73.35,78.45,3.45,+4.60%,2783063
01/01/2022,67.6,75.96,65.64,75,7.41,+10.96%,3526515
12/01/2021,63.3,67.76,61.8,67.59,5.38,+8.65%,2125654
11/01/2021,64.51,66.98,62.2,62.21,-2.03,-3.16%,2665204
10/01/2021,60.27,66.78,59.42,64.24,4.23,+7.05%,2203804
09/01/2021,60.21,63.26,58.44,60.01,0.01,+0.02%,2699904
08/01/2021,59.93,62.78,58.5,60,0.28,+0.47%,2196681
07/01/2021,61,61.27,56.9101,59.72,-0.88,-1.45%,2370966
06/01/2021,67.15,69.3,60.18,60.6,-5.93,-8.91%,2478445
05/01/2021,63.86,68.68,63.71,66.53,3.4,+5.39%,2806315
04/01/2021,57.13,63.9,57.06,63.13,6.13,+10.75%,2451614
03/01/2021,57.2,59.12,54.94,57,0.42,+0.74%,2812443
02/01/2021,50.48,58.68,50.18,56.58,6.57,+13.14%,2526463
01/01/2021,50.4,53.99,49.28,50.01,-0.4,-0.79%,2907431
12/01/2020,50.19,50.67,48.565,50.41,0.64,+1.29%,2167650
11/01/2020,47.15,51.39,46.46,49.77,3.53,+7.63%,2633680
10/01/2020,46.66,52.05,45.68,46.24,-0.25,-0.54%,3030100
09/01/2020,44.52,48.5581,44.42,46.49,1.73,+3.87%,3650028
08/01/2020,42.97,45.21,42.47,44.76,1.93,+4.51%,2066223
07/01/2020,40.1,43.6,37.54,42.83,2.93,+7.34%,2382427
06/01/2020,39.08,42.915,38.04,39.9,0.59,+1.50%,3040845
05/01/2020,36.66,39.67,33.01,39.31,2.17,+5.84%,2912050
04/01/2020,33.7,38.71,33.515,37.14,1.96,+5.57%,3169976
03/01/2020,38.19,39.5989,28.92,35.18,-2.47,-6.56%,4701109
02/01/2020,44.97,46.51,35.78,37.65,-7.11,-15.88%,3092384
01/01/2020,46.57,46.64,43.03,44.76,-1.59,-3.43%,3166538
12/01/2019,42.95,47.2,42.55,46.35,3.42,+7.97%,2817852
11/01/2019,43.6,43.6,42.17,42.93,-0.6,-1.38%,2761923
"Downloaded from Barchart.com as of 11-12-2024 09:45am CST"
